org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
Sole Proprietor / Individual,Other:,Yes,Updating Company Information,None of the above,"Other (please specify):,PaymentWorks' Payee Knowledge Base",Yes,Other:,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.",None of the Above,"Procurement (pohelp@ucsd.edu),Transcepta Portal and Knowledge Base",I am not aware of any of these resources,I have never utilized these resources or support,3 – Neutral,No
Non-Profit Organization,Administrative support,Yes,"Contacting PaymentWorks,Supplier Registration,Finding guidance on PaymentWorks actions,Updating Remittance Details",Contacting PaymentWorks,Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Registering for Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","Registering for Transcepta,Viewing invoice submission status.,Finding guidance on Transcepta actions.",I am unsure who to contact,Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",The person ordering the goods or services,Yes,Transcepta - Email,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",None of the Above,"I am unsure who to contact,Procurement (pohelp@ucsd.edu)",Payee Onboarding Guide,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,Receiving notifications about invoice errors/rejections,Receiving notifications about invoice errors/rejections,"Procurement (pohelp@ucsd.edu),I am unsure who to contact",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,1 – Extremely Unclear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Receiving notifications about invoice errors/rejections,Registering for Transcepta,Viewing invoice submission status.","Finding guidance on Transcepta actions.,Viewing invoice submission status.","Procurement (pohelp@ucsd.edu),Transcepta Portal and Knowledge Base",Payee Newsletter,I have not experienced any difficulties,3 – Neutral,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,Finding guidance on PaymentWorks actions,"Finding guidance on PaymentWorks actions,Viewing Payment Status,Updating Company Information","Procurement (pohelp@ucsd.edu),Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,Other (Please specify):,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),,,,,,,,,
Non-Profit Organization,Executive-level leadership,Yes,"Updating Remittance Details,Updating Company Information,Supplier Registration","Updating Remittance Details,Viewing Payment Status,Finding guidance on PaymentWorks actions",PaymentWorks' Payee Knowledge Base,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Non-Profit Organization,Sales,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,,,,,,,,,,,,,
Small Business (per SBA standards),Executive-level leadership,Yes,None of the above,Updating Company Information,Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,,,,,,,,,
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.",Registering for Transcepta,"Procurement (pohelp@ucsd.edu),The person ordering the goods or services",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Non-Profit Organization,Administrative support,Yes,"Updating Company Information,Updating Remittance Details,Viewing Payment Status,Supplier Registration",Updating Remittance Details,"Accounts Payable (payables@ucsd.edu),PaymentWorks Support",Yes,Transcepta - Web Portal (PO flip and manual creation),Registering for Transcepta,Receiving notifications about invoice errors/rejections,Transcepta Support,Other (Please specify):,Other (Please specify):,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,,,,,,,,,,,,,
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.","Registering for Transcepta,Finding guidance on Transcepta actions.","Transcepta Support,Transcepta Portal and Knowledge Base",I am not aware of any of these resources,I have never utilized these resources or support,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,Updating Remittance Details,"Contacting PaymentWorks,Viewing Payment Status",Procurement (pohelp@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),Receiving notifications about invoice errors/rejections,None of the Above,"The person ordering the goods or services,Procurement (pohelp@ucsd.edu)",Payee Onboarding Guide,Other (Please specify):,4 – Somewhat Clear,No
Other (please specify):,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Administrative support,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,"Viewing Payment Status,Updating Remittance Details,Supplier Registration","N/A, I've never heard of PaymentWorks",Procurement (pohelp@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,None of the Above,"Viewing invoice submission status.,Registering for Transcepta","Transcepta Support,Other (please specify):",Payee Newsletter,I have never utilized these resources or support,1 – Extremely Unclear,No
Small Business (per SBA standards),Sales,Yes,Viewing Payment Status,"Viewing Payment Status,Finding guidance on PaymentWorks actions","PaymentWorks Support,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have never utilized these resources or support,5 – Extremely Clear,No
Other (please specify):,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Finding guidance on Transcepta actions.,Registering for Transcepta,"Procurement (pohelp@ucsd.edu),Transcepta Portal and Knowledge Base",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,No
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta","Finding guidance on Transcepta actions.,Registering for Transcepta",Other (please specify):,Payee Onboarding Guide,Other (Please specify):,4 – Somewhat Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Registering for Transcepta","Registering for Transcepta,Viewing invoice submission status.,Finding guidance on Transcepta actions.",Transcepta Support,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Receiving notifications about invoice errors/rejections,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Registering for Transcepta","Accounts Payable (payables@ucsd.edu),Other (please specify):",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Sales,Yes,"Contacting PaymentWorks,Updating Remittance Details","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,No
Sole Proprietor / Individual,Other:,,,,,,,,,,,,,
Non-Profit Organization,Other:,Yes,Updating Remittance Details,Contacting PaymentWorks,"Accounts Payable (payables@ucsd.edu),PaymentWorks Support",Yes,Transcepta - Electronic Data Interchange (EDI),"N/A, I've never heard of Transcepta","Finding guidance on Transcepta actions.,Viewing invoice submission status.","Procurement (pohelp@ucsd.edu),The person ordering the goods or services",Payee Newsletter,I have never utilized these resources or support,1 – Extremely Unclear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have not experienced any difficulties,2 – Somewhat Unclear,No
